Signer,Subject Info::cohort,DomHand,Stimuli::ItemNum,Stimuli::Action,Stimuli::Actor,Stimuli::Patient,Stimuli::ObjectAnimacy,Utt number,Utterance::Utterance Frame1,Utterance::Utterance last frame,Gloss,Verb number from previous coding,Verb,Target?,Verb Category,Verb Category2,First Frame,Last Frame
27,1,right,A01,hop,woman,man,animate ,5189,565,850,2H-GCL-face-eo IX-GCL-R M no IX-GCL-L M GCL-R W GCL-R GCL-hop-to-GCL VCL-inv-hop-to-GCL ,1111,GCL-hop-to-GCL,,CL,CL,731,768
27,1,right,A01,hop,woman,man,animate ,5189,565,850,2H-GCL-face-eo IX-GCL-R M no IX-GCL-L M GCL-R W GCL-R GCL-hop-to-GCL VCL-inv-hop-to-GCL ,1112,VCL-inv-hop-to-GCL,,CL,CL,779,807
27,1,right,A02,jump,man,woman,inanimate,5190,1134,1355,sit M VCL-inv-hop-to-chair ,1113,VCL-inv-hop-to-chair ,,CL,CL,1278,1312
27,1,right,A09,skip,woman,man,animate ,"5197
",5219,5463,M VCL-inv-stand-R W VCL-inv-walk-to-VCL ,1129,VCL-inv-walk-to-VCL ,,CL,CL,5343,5422
27,1,right,A10,run,man,woman,animate ,"5198
",5701,5919,VCL-inv-stand-L W M VCL-inv-stand-R VCL-inv-walk-to-VCL run VCL-inv-walk-to-VCL,1130,VCL-inv-walk-to-VCL ,,CL,CL,5794,5823
27,1,right,A10,run,man,woman,animate ,"5198
",5701,5919,VCL-inv-stand-L W M VCL-inv-stand-R VCL-inv-walk-to-VCL run VCL-inv-walk-to-VCL,1132, VCL-inv-walk-to-VCL,,CL,CL,5858,5879
27,1,right,A13,walk,woman,man,animate ,"5201
",7152,7387,VCL-inc-stand-L M VCL-inv-stand-R 2H-VCL-inv-walk-to-VCL look-at-eo ,1138,2H-VCL-inv-walk-to-VCL,,CL,CL,7252,7299
27,1,right,A14,jump,woman,man,animate,"5202
",7623,7798,M VCL-inv-stand-R VCL-inv-stand-L VCL-inv-hop-to-VCL ,1140,VCL-inv-hop-to-VCL ,,CL,CL,7703,7774
27,1,right,A21,walk,man,woman,animate ,"5209
",10650,10931,VCL-inv-stand-L VCL-inv-stand-R IX-R W VCL-inv-stand-L M VCL-inv-walk-to-VCL look-at-eo,1149,VCL-inv-walk-to-VCL,,CL,CL,10817,10844
27,1,right,A25,cycle,man,plant,inanimate,"5213
",12516,12864,tree M cycle BCL-approach-BCL BCL-approach-BCL ,1156,BCL-approach-BCL,,CL,CL,12750,12781
27,1,right,A25,cycle,man,plant,inanimate,"5213
",12516,12864,tree M cycle BCL-approach-BCL BCL-approach-BCL ,1157,BCL-approach-BCL,,CL,CL,12826,12837
27,1,right,A28,cycle,man,woman,animate ,"5216
",13941,14209,W VCL-inv-stand-L W M cycle BCL-approch-VCL-inv,1162,BCL-approch-VCL-inv,,CL,CL,14148,14169
27,1,right,A29,skip,woman,chair,inanimate,"5217
",14408,14695,chair W VCL-inv-skip-to-chair.  VCL-inv-skip-to-chair ,1163,VCL-inv-skip-to-chair,,CL,CL,14488,14539
27,1,right,A29,skip,woman,chair,inanimate,"5217
",14408,14695,chair W VCL-inv-skip-to-chair.  VCL-inv-skip-to-chair ,1164,VCL-inv-skip-to-chair,,CL,CL,14626,14652
27,1,right,A30,punch,man,woman,animate ,"5218
",14936,15330,2H-VCL-inv-stand-facing VCL-inv-stand-R IX-VCL W IX-hand M 2H-VCL-inv-approach-eo punch punch-VCL-inv ,1165,2H-VCL-inv-approach-eo,,CL,CL,15178,15207
27,1,right,A34,run,woman,plant,inanimate,"5222
",16723,16908,tree run VCL-inv-run-to-tree ,1178,VCL-inv-run-to-tree ,,CL & other,CL,16825,16862
27,1,right,A04,roll ball,woman,man,animate ,5192,2185,2551,table M GCL-L W GCL-R ball release-ball receive-ball ,1115,release-ball,,hand=hand,hand=hand,2436,2447
27,1,right,A04,roll ball,woman,man,animate ,5192,2185,2551,table M GCL-L W GCL-R ball release-ball receive-ball ,1116,receive-ball ,,hand=hand,hand=hand,2470,2496
27,1,right,A05,throw confetti,woman,man,animate,5193,2771,3117,M GCL-L VCL-inv-stand-L 1 M W VCL-inv-stand-R throw plant receive fall-over-body ,1117,throw ,,hand=hand,hand=hand,2977,2995
27,1,right,A05,throw confetti,woman,man,animate,5193,2771,3117,M GCL-L VCL-inv-stand-L 1 M W VCL-inv-stand-R throw plant receive fall-over-body ,1118,receive ,,hand=hand,hand=hand,3040,3052
27,1,right,A06,pull,man,woman,animate ,5194,3385,3638,M M grab IX-arm W reach pull get-pulled ,1120,grab ,,hand=hand,hand=hand,3468,3479
27,1,right,A06,pull,man,woman,animate ,5194,3385,3638,M M grab IX-arm W reach pull get-pulled ,1121,reach,,hand=hand,hand=hand,3542,3552
27,1,right,A06,pull,man,woman,animate ,5194,3385,3638,M M grab IX-arm W reach pull get-pulled ,1122,pull,,hand=hand,hand=hand,3553,3565
27,1,right,A07,feed,woman,man,animate,5195,3896,4416,table bowl M VCL-inv-stand-L sit W sit 2H-GCL-face-eo 2H-VCL-inv-bent-sit-facing-eo feed get-fed ,1124,feed,,hand=hand,hand=hand,4284,4307
27,1,right,A08,throw ball,woman,plant,inanimate,"5196
",4658,4967,W VCL-inv-stand-R tree ball throw tree ball-approach/hit-tree fall,1126,throw,,hand=hand,hand=hand,4832,4855
